Year,Year70To81,MPG,GallonsPer100Miles,GallonsPer100MilesTo1981,Cylinders,Displacement100ci,Horsepower100,Weight1000lb,Seconds0to60,Origin,Origin.Eq.1,Origin.Eq.2,Origin.Eq.3,Name
72,1,11,9.1,9.1,8,4.29,2.08,4.633,11,1,1,0,0,mercury marquis
72,1,13,7.7,7.7,8,3.5,1.55,4.502,13.5,1,1,0,0,buick lesabre custom
72,1,12,8.3,8.3,8,3.5,1.6,4.456,13.5,1,1,0,0,oldsmobile delta 88 royale
72,1,13,7.7,7.7,8,4,1.9,4.422,12.5,1,1,0,0,chrysler newport royal
72,1,19,5.3,5.3,3,0.7,0.97,2.33,13.5,3,0,0,1,mazda rx2 coupe
72,1,15,6.7,6.7,8,3.04,1.5,3.892,12.5,1,1,0,0,amc matador (sw)
72,1,13,7.7,7.7,8,3.07,1.3,4.098,14,1,1,0,0,chevrolet chevelle concours (sw)
72,1,13,7.7,7.7,8,3.02,1.4,4.294,16,1,1,0,0,ford gran torino (sw)
72,1,14,7.1,7.1,8,3.18,1.5,4.077,14,1,1,0,0,plymouth satellite custom (sw)
72,1,18,5.6,5.6,4,1.21,1.12,2.933,14.5,2,0,1,0,volvo 145e (sw)
72,1,22,4.5,4.5,4,1.21,0.76,2.511,18,2,0,1,0,volkswagen 411 (sw)
72,1,21,4.8,4.8,4,1.2,0.87,2.979,19.5,2,0,1,0,peugeot 504 (sw)
72,1,26,3.8,3.8,4,0.96,0.69,2.189,18,2,0,1,0,renault 12 (sw)
72,1,22,4.5,4.5,4,1.22,0.86,2.395,16,1,1,0,0,ford pinto (sw)
72,1,28,3.6,3.6,4,0.97,0.92,2.288,17,3,0,0,1,datsun 510 (sw)
72,1,23,4.3,4.3,4,1.2,0.97,2.506,14.5,3,0,0,1,toyouta corona mark ii (sw)
72,1,28,3.6,3.6,4,0.98,0.8,2.164,15,1,1,0,0,dodge colt (sw)
72,1,27,3.7,3.7,4,0.97,0.88,2.1,16.5,3,0,0,1,toyota corolla 1600 (sw)
73,1,13,7.7,7.7,8,3.5,1.75,4.1,13,1,1,0,0,buick century 350
73,1,14,7.1,7.1,8,3.04,1.5,3.672,11.5,1,1,0,0,amc matador
73,1,13,7.7,7.7,8,3.5,1.45,3.988,13,1,1,0,0,chevrolet malibu
73,1,14,7.1,7.1,8,3.02,1.37,4.042,14.5,1,1,0,0,ford gran torino
73,1,15,6.7,6.7,8,3.18,1.5,3.777,12.5,1,1,0,0,dodge coronet custom
73,1,12,8.3,8.3,8,4.29,1.98,4.952,11.5,1,1,0,0,mercury marquis brougham
73,1,13,7.7,7.7,8,4,1.5,4.464,12,1,1,0,0,chevrolet caprice classic
73,1,13,7.7,7.7,8,3.51,1.58,4.363,13,1,1,0,0,ford ltd
73,1,14,7.1,7.1,8,3.18,1.5,4.237,14.5,1,1,0,0,plymouth fury gran sedan
73,1,13,7.7,7.7,8,4.4,2.15,4.735,11,1,1,0,0,chrysler new yorker brougham
73,1,12,8.3,8.3,8,4.55,2.25,4.951,11,1,1,0,0,buick electra 225 custom
73,1,13,7.7,7.7,8,3.6,1.75,3.821,11,1,1,0,0,amc ambassador brougham
73,1,18,5.6,5.6,6,2.25,1.05,3.121,16.5,1,1,0,0,plymouth valiant
73,1,16,6.3,6.3,6,2.5,1,3.278,18,1,1,0,0,chevrolet nova custom
73,1,18,5.6,5.6,6,2.32,1,2.945,16,1,1,0,0,amc hornet
73,1,18,5.6,5.6,6,2.5,0.88,3.021,16.5,1,1,0,0,ford maverick
73,1,23,4.3,4.3,6,1.98,0.95,2.904,16,1,1,0,0,plymouth duster
73,1,26,3.8,3.8,4,0.97,0.46,1.95,21,2,0,1,0,volkswagen super beetle
73,1,11,9.1,9.1,8,4,1.5,4.997,14,1,1,0,0,chevrolet impala
73,1,12,8.3,8.3,8,4,1.67,4.906,12.5,1,1,0,0,ford country
73,1,13,7.7,7.7,8,3.6,1.7,4.654,13,1,1,0,0,plymouth custom suburb
73,1,12,8.3,8.3,8,3.5,1.8,4.499,12.5,1,1,0,0,oldsmobile vista cruiser
73,1,18,5.6,5.6,6,2.32,1,2.789,15,1,1,0,0,amc gremlin
73,1,20,5.0,5.0,4,0.97,0.88,2.279,19,3,0,0,1,toyota carina
73,1,21,4.8,4.8,4,1.4,0.72,2.401,19.5,1,1,0,0,chevrolet vega
73,1,22,4.5,4.5,4,1.08,0.94,2.379,16.5,3,0,0,1,datsun 610
73,1,18,5.6,5.6,3,0.7,0.9,2.124,13.5,3,0,0,1,maxda rx3
73,1,19,5.3,5.3,4,1.22,0.85,2.31,18.5,1,1,0,0,ford pinto
73,1,21,4.8,4.8,6,1.55,1.07,2.472,14,1,1,0,0,mercury capri v6
73,1,26,3.8,3.8,4,0.98,0.9,2.265,15.5,2,0,1,0,fiat 124 sport coupe
73,1,15,6.7,6.7,8,3.5,1.45,4.082,13,1,1,0,0,chevrolet monte carlo s
73,1,16,6.3,6.3,8,4,2.3,4.278,9.5,1,1,0,0,pontiac grand prix
73,1,29,3.4,3.4,4,0.68,0.49,1.867,19.5,2,0,1,0,fiat 128
73,1,24,4.2,4.2,4,1.16,0.75,2.158,15.5,2,0,1,0,opel manta
73,1,20,5.0,5.0,4,1.14,0.91,2.582,14,2,0,1,0,audi 100ls
73,1,19,5.3,5.3,4,1.21,1.12,2.868,15.5,2,0,1,0,volvo 144ea
73,1,15,6.7,6.7,8,3.18,1.5,3.399,11,1,1,0,0,dodge dart custom
73,1,24,4.2,4.2,4,1.21,1.1,2.66,14,2,0,1,0,saab 99le
73,1,20,5.0,5.0,6,1.56,1.22,2.807,13.5,3,0,0,1,toyota mark ii
73,1,11,9.1,9.1,8,3.5,1.8,3.664,11,1,1,0,0,oldsmobile omega
74,1,20,5.0,5.0,6,1.98,0.95,3.102,16.5,1,1,0,0,plymouth duster
74,1,19,5.3,5.3,6,2.32,1,2.901,16,1,1,0,0,amc hornet
74,1,15,6.7,6.7,6,2.5,1,3.336,17,1,1,0,0,chevrolet nova
74,1,31,3.2,3.2,4,0.79,0.67,1.95,19,3,0,0,1,datsun b210
74,1,26,3.8,3.8,4,1.22,0.8,2.451,16.5,1,1,0,0,ford pinto
74,1,32,3.1,3.1,4,0.71,0.65,1.836,21,3,0,0,1,toyota corolla 1200
74,1,25,4.0,4.0,4,1.4,0.75,2.542,17,1,1,0,0,chevrolet vega
74,1,16,6.3,6.3,6,2.5,1,3.781,17,1,1,0,0,chevrolet chevelle malibu classic
74,1,16,6.3,6.3,6,2.58,1.1,3.632,18,1,1,0,0,amc matador
74,1,18,5.6,5.6,6,2.25,1.05,3.613,16.5,1,1,0,0,plymouth satellite sebring
74,1,16,6.3,6.3,8,3.02,1.4,4.141,14,1,1,0,0,ford gran torino
74,1,13,7.7,7.7,8,3.5,1.5,4.699,14.5,1,1,0,0,buick century luxus (sw)
74,1,14,7.1,7.1,8,3.18,1.5,4.457,13.5,1,1,0,0,dodge coronet custom (sw)
74,1,14,7.1,7.1,8,3.02,1.4,4.638,16,1,1,0,0,ford gran torino (sw)
74,1,14,7.1,7.1,8,3.04,1.5,4.257,15.5,1,1,0,0,amc matador (sw)
74,1,29,3.4,3.4,4,0.98,0.83,2.219,16.5,2,0,1,0,audi fox
74,1,26,3.8,3.8,4,0.79,0.67,1.963,15.5,2,0,1,0,volkswagen dasher
74,1,26,3.8,3.8,4,0.97,0.78,2.3,14.5,2,0,1,0,opel manta
74,1,31,3.2,3.2,4,0.76,0.52,1.649,16.5,3,0,0,1,toyota corona
74,1,32,3.1,3.1,4,0.83,0.61,2.003,19,3,0,0,1,datsun 710
74,1,28,3.6,3.6,4,0.9,0.75,2.125,14.5,1,1,0,0,dodge colt
74,1,24,4.2,4.2,4,0.9,0.75,2.108,15.5,2,0,1,0,fiat 128
74,1,26,3.8,3.8,4,1.16,0.75,2.246,14,2,0,1,0,fiat 124 tc
74,1,24,4.2,4.2,4,1.2,0.97,2.489,15,3,0,0,1,honda civic
74,1,26,3.8,3.8,4,1.08,0.93,2.391,15.5,3,0,0,1,subaru
74,1,31,3.2,3.2,4,0.79,0.67,2,16,2,0,1,0,fiat x1.9
75,1,19,5.3,5.3,6,2.25,0.95,3.264,16,1,1,0,0,plymouth valiant custom
75,1,18,5.6,5.6,6,2.5,1.05,3.459,16,1,1,0,0,chevrolet nova
75,1,15,6.7,6.7,6,2.5,0.72,3.432,21,1,1,0,0,mercury monarch
75,1,15,6.7,6.7,6,2.5,0.72,3.158,19.5,1,1,0,0,ford maverick
75,1,16,6.3,6.3,8,4,1.7,4.668,11.5,1,1,0,0,pontiac catalina
75,1,15,6.7,6.7,8,3.5,1.45,4.44,14,1,1,0,0,chevrolet bel air
75,1,16,6.3,6.3,8,3.18,1.5,4.498,14.5,1,1,0,0,plymouth grand fury
75,1,14,7.1,7.1,8,3.51,1.48,4.657,13.5,1,1,0,0,ford ltd
75,1,17,5.9,5.9,6,2.31,1.1,3.907,21,1,1,0,0,buick century
75,1,16,6.3,6.3,6,2.5,1.05,3.897,18.5,1,1,0,0,chevroelt chevelle malibu
75,1,15,6.7,6.7,6,2.58,1.1,3.73,19,1,1,0,0,amc matador
75,1,18,5.6,5.6,6,2.25,0.95,3.785,19,1,1,0,0,plymouth fury
75,1,21,4.8,4.8,6,2.31,1.1,3.039,15,1,1,0,0,buick skyhawk
75,1,20,5.0,5.0,8,2.62,1.1,3.221,13.5,1,1,0,0,chevrolet monza 2+2
75,1,13,7.7,7.7,8,3.02,1.29,3.169,12,1,1,0,0,ford mustang ii
75,1,29,3.4,3.4,4,0.97,0.75,2.171,16,3,0,0,1,toyota corolla
75,1,23,4.3,4.3,4,1.4,0.83,2.639,17,1,1,0,0,ford pinto
75,1,20,5.0,5.0,6,2.32,1,2.914,16,1,1,0,0,amc gremlin
75,1,23,4.3,4.3,4,1.4,0.78,2.592,18.5,1,1,0,0,pontiac astro
75,1,24,4.2,4.2,4,1.34,0.96,2.702,13.5,3,0,0,1,toyota corona
75,1,25,4.0,4.0,4,0.9,0.71,2.223,16.5,2,0,1,0,volkswagen dasher
75,1,24,4.2,4.2,4,1.19,0.97,2.545,17,3,0,0,1,datsun 710
75,1,18,5.6,5.6,6,1.71,0.97,2.984,14.5,1,1,0,0,ford pinto
75,1,29,3.4,3.4,4,0.9,0.7,1.937,14,2,0,1,0,volkswagen rabbit
75,1,19,5.3,5.3,6,2.32,0.9,3.211,17,1,1,0,0,amc pacer
75,1,23,4.3,4.3,4,1.15,0.95,2.694,15,2,0,1,0,audi 100ls
75,1,23,4.3,4.3,4,1.2,0.88,2.957,17,2,0,1,0,peugeot 504
75,1,22,4.5,4.5,4,1.21,0.98,2.945,14.5,2,0,1,0,volvo 244dl
75,1,25,4.0,4.0,4,1.21,1.15,2.671,13.5,2,0,1,0,saab 99le
75,1,33,3.0,3.0,4,0.91,0.53,1.795,17.5,3,0,0,1,honda civic cvcc
76,1,28,3.6,3.6,4,1.07,0.86,2.464,15.5,2,0,1,0,fiat 131
76,1,25,4.0,4.0,4,1.16,0.81,2.22,16.9,2,0,1,0,opel 1900
76,1,25,4.0,4.0,4,1.4,0.92,2.572,14.9,1,1,0,0,capri ii
76,1,26,3.8,3.8,4,0.98,0.79,2.255,17.7,1,1,0,0,dodge colt
76,1,27,3.7,3.7,4,1.01,0.83,2.202,15.3,2,0,1,0,renault 12tl
76,1,17.5,5.7,5.7,8,3.05,1.4,4.215,13,1,1,0,0,chevrolet chevelle malibu classic
76,1,16,6.3,6.3,8,3.18,1.5,4.19,13,1,1,0,0,dodge coronet brougham
76,1,15.5,6.5,6.5,8,3.04,1.2,3.962,13.9,1,1,0,0,amc matador
76,1,14.5,6.9,6.9,8,3.51,1.52,4.215,12.8,1,1,0,0,ford gran torino
76,1,22,4.5,4.5,6,2.25,1,3.233,15.4,1,1,0,0,plymouth valiant
76,1,22,4.5,4.5,6,2.5,1.05,3.353,14.5,1,1,0,0,chevrolet nova
76,1,24,4.2,4.2,6,2,0.81,3.012,17.6,1,1,0,0,ford maverick
76,1,22.5,4.4,4.4,6,2.32,0.9,3.085,17.6,1,1,0,0,amc hornet
76,1,29,3.4,3.4,4,0.85,0.52,2.035,22.2,1,1,0,0,chevrolet chevette
76,1,24.5,4.1,4.1,4,0.98,0.6,2.164,22.1,1,1,0,0,chevrolet woody
76,1,29,3.4,3.4,4,0.9,0.7,1.937,14.2,2,0,1,0,vw rabbit
76,1,33,3.0,3.0,4,0.91,0.53,1.795,17.4,3,0,0,1,honda civic
76,1,20,5.0,5.0,6,2.25,1,3.651,17.7,1,1,0,0,dodge aspen se
76,1,18,5.6,5.6,6,2.5,0.78,3.574,21,1,1,0,0,ford granada ghia
76,1,18.5,5.4,5.4,6,2.5,1.1,3.645,16.2,1,1,0,0,pontiac ventura sj
76,1,17.5,5.7,5.7,6,2.58,0.95,3.193,17.8,1,1,0,0,amc pacer d/l
76,1,29.5,3.4,3.4,4,0.97,0.71,1.825,12.2,2,0,1,0,volkswagen rabbit
76,1,32,3.1,3.1,4,0.85,0.7,1.99,17,3,0,0,1,datsun b-210
76,1,28,3.6,3.6,4,0.97,0.75,2.155,16.4,3,0,0,1,toyota corolla
76,1,26.5,3.8,3.8,4,1.4,0.72,2.565,13.6,1,1,0,0,ford pinto
76,1,20,5.0,5.0,4,1.3,1.02,3.15,15.7,2,0,1,0,volvo 245
76,1,13,7.7,7.7,8,3.18,1.5,3.94,13.2,1,1,0,0,plymouth volare premier v8
76,1,19,5.3,5.3,4,1.2,0.88,3.27,21.9,2,0,1,0,peugeot 504
76,1,19,5.3,5.3,6,1.56,1.08,2.93,15.5,3,0,0,1,toyota mark ii
76,1,16.5,6.1,6.1,6,1.68,1.2,3.82,16.7,2,0,1,0,mercedes-benz 280s
76,1,16.5,6.1,6.1,8,3.5,1.8,4.38,12.1,1,1,0,0,cadillac seville
76,1,13,7.7,7.7,8,3.5,1.45,4.055,12,1,1,0,0,chevy c10
76,1,13,7.7,7.7,8,3.02,1.3,3.87,15,1,1,0,0,ford f108
76,1,13,7.7,7.7,8,3.18,1.5,3.755,14,1,1,0,0,dodge d100
77,1,31.5,3.2,3.2,4,0.98,0.68,2.045,18.5,3,0,0,1,honda accord cvcc
77,1,30,3.3,3.3,4,1.11,0.8,2.155,14.8,1,1,0,0,buick opel isuzu deluxe
77,1,36,2.8,2.8,4,0.79,0.58,1.825,18.6,2,0,1,0,renault 5 gtl
77,1,25.5,3.9,3.9,4,1.22,0.96,2.3,15.5,1,1,0,0,plymouth arrow gs
77,1,33.5,3.0,3.0,4,0.85,0.7,1.945,16.8,3,0,0,1,datsun f-10 hatchback
77,1,17.5,5.7,5.7,8,3.05,1.45,3.88,12.5,1,1,0,0,chevrolet caprice classic
77,1,17,5.9,5.9,8,2.6,1.1,4.06,19,1,1,0,0,oldsmobile cutlass supreme
77,1,15.5,6.5,6.5,8,3.18,1.45,4.14,13.7,1,1,0,0,dodge monaco brougham
77,1,15,6.7,6.7,8,3.02,1.3,4.295,14.9,1,1,0,0,mercury cougar brougham
77,1,17.5,5.7,5.7,6,2.5,1.1,3.52,16.4,1,1,0,0,chevrolet concours
77,1,20.5,4.9,4.9,6,2.31,1.05,3.425,16.9,1,1,0,0,buick skylark
77,1,19,5.3,5.3,6,2.25,1,3.63,17.7,1,1,0,0,plymouth volare custom
77,1,18.5,5.4,5.4,6,2.5,0.98,3.525,19,1,1,0,0,ford granada
77,1,16,6.3,6.3,8,4,1.8,4.22,11.1,1,1,0,0,pontiac grand prix lj
77,1,15.5,6.5,6.5,8,3.5,1.7,4.165,11.4,1,1,0,0,chevrolet monte carlo landau
77,1,15.5,6.5,6.5,8,4,1.9,4.325,12.2,1,1,0,0,chrysler cordoba
77,1,16,6.3,6.3,8,3.51,1.49,4.335,14.5,1,1,0,0,ford thunderbird
77,1,29,3.4,3.4,4,0.97,0.78,1.94,14.5,2,0,1,0,volkswagen rabbit custom
77,1,24.5,4.1,4.1,4,1.51,0.88,2.74,16,1,1,0,0,pontiac sunbird coupe
77,1,26,3.8,3.8,4,0.97,0.75,2.265,18.2,3,0,0,1,toyota corolla liftback
77,1,25.5,3.9,3.9,4,1.4,0.89,2.755,15.8,1,1,0,0,ford mustang ii 2+2
77,1,30.5,3.3,3.3,4,0.98,0.63,2.051,17,1,1,0,0,chevrolet chevette
77,1,33.5,3.0,3.0,4,0.98,0.83,2.075,15.9,1,1,0,0,dodge colt m/m
77,1,30,3.3,3.3,4,0.97,0.67,1.985,16.4,3,0,0,1,subaru dl
77,1,30.5,3.3,3.3,4,0.97,0.78,2.19,14.1,2,0,1,0,volkswagen dasher
77,1,22,4.5,4.5,6,1.46,0.97,2.815,14.5,3,0,0,1,datsun 810
77,1,21.5,4.7,4.7,4,1.21,1.1,2.6,12.8,2,0,1,0,bmw 320i
77,1,21.5,4.7,4.7,3,0.8,1.1,2.72,13.5,3,0,0,1,mazda rx-4
78,1,43.1,2.3,2.3,4,0.9,0.48,1.985,21.5,2,0,1,0,volkswagen rabbit custom diesel
78,1,36.1,2.8,2.8,4,0.98,0.66,1.8,14.4,1,1,0,0,ford fiesta
78,1,32.8,3.0,3.0,4,0.78,0.52,1.985,19.4,3,0,0,1,mazda glc deluxe
78,1,39.4,2.5,2.5,4,0.85,0.7,2.07,18.6,3,0,0,1,datsun b210 gx
78,1,36.1,2.8,2.8,4,0.91,0.6,1.8,16.4,3,0,0,1,honda civic cvcc
78,1,19.9,5.0,5.0,8,2.6,1.1,3.365,15.5,1,1,0,0,oldsmobile cutlass salon brougham
78,1,19.4,5.2,5.2,8,3.18,1.4,3.735,13.2,1,1,0,0,dodge diplomat
78,1,20.2,5.0,5.0,8,3.02,1.39,3.57,12.8,1,1,0,0,mercury monarch ghia
78,1,19.2,5.2,5.2,6,2.31,1.05,3.535,19.2,1,1,0,0,pontiac phoenix lj
78,1,20.5,4.9,4.9,6,2,0.95,3.155,18.2,1,1,0,0,chevrolet malibu
78,1,20.2,5.0,5.0,6,2,0.85,2.965,15.8,1,1,0,0,ford fairmont (auto)
78,1,25.1,4.0,4.0,4,1.4,0.88,2.72,15.4,1,1,0,0,ford fairmont (man)
78,1,20.5,4.9,4.9,6,2.25,1,3.43,17.2,1,1,0,0,plymouth volare
78,1,19.4,5.2,5.2,6,2.32,0.9,3.21,17.2,1,1,0,0,amc concord
78,1,20.6,4.9,4.9,6,2.31,1.05,3.38,15.8,1,1,0,0,buick century special
78,1,20.8,4.8,4.8,6,2,0.85,3.07,16.7,1,1,0,0,mercury zephyr
78,1,18.6,5.4,5.4,6,2.25,1.1,3.62,18.7,1,1,0,0,dodge aspen
78,1,18.1,5.5,5.5,6,2.58,1.2,3.41,15.1,1,1,0,0,amc concord d/l
78,1,19.2,5.2,5.2,8,3.05,1.45,3.425,13.2,1,1,0,0,chevrolet monte carlo landau
78,1,17.7,5.6,5.6,6,2.31,1.65,3.445,13.4,1,1,0,0,buick regal sport coupe (turbo)
78,1,18.1,5.5,5.5,8,3.02,1.39,3.205,11.2,1,1,0,0,ford futura
78,1,17.5,5.7,5.7,8,3.18,1.4,4.08,13.7,1,1,0,0,dodge magnum xe
78,1,30,3.3,3.3,4,0.98,0.68,2.155,16.5,1,1,0,0,chevrolet chevette
78,1,27.5,3.6,3.6,4,1.34,0.95,2.56,14.2,3,0,0,1,toyota corona
78,1,27.2,3.7,3.7,4,1.19,0.97,2.3,14.7,3,0,0,1,datsun 510
78,1,30.9,3.2,3.2,4,1.05,0.75,2.23,14.5,1,1,0,0,dodge omni
78,1,21.1,4.7,4.7,4,1.34,0.95,2.515,14.8,3,0,0,1,toyota celica gt liftback
78,1,23.2,4.3,4.3,4,1.56,1.05,2.745,16.7,1,1,0,0,plymouth sapporo
78,1,23.8,4.2,4.2,4,1.51,0.85,2.855,17.6,1,1,0,0,oldsmobile starfire sx
78,1,23.9,4.2,4.2,4,1.19,0.97,2.405,14.9,3,0,0,1,datsun 200-sx
78,1,20.3,4.9,4.9,5,1.31,1.03,2.83,15.9,2,0,1,0,audi 5000
78,1,17,5.9,5.9,6,1.63,1.25,3.14,13.6,2,0,1,0,volvo 264gl
78,1,21.6,4.6,4.6,4,1.21,1.15,2.795,15.7,2,0,1,0,saab 99gle
78,1,16.2,6.2,6.2,6,1.63,1.33,3.41,15.8,2,0,1,0,peugeot 604sl
78,1,31.5,3.2,3.2,4,0.89,0.71,1.99,14.9,2,0,1,0,volkswagen scirocco
78,1,29.5,3.4,3.4,4,0.98,0.68,2.135,16.6,3,0,0,1,honda accord lx
79,1,21.5,4.7,4.7,6,2.31,1.15,3.245,15.4,1,1,0,0,pontiac lemans v6
79,1,19.8,5.1,5.1,6,2,0.85,2.99,18.2,1,1,0,0,mercury zephyr 6
79,1,22.3,4.5,4.5,4,1.4,0.88,2.89,17.3,1,1,0,0,ford fairmont 4
79,1,20.2,5.0,5.0,6,2.32,0.9,3.265,18.2,1,1,0,0,amc concord dl 6
79,1,20.6,4.9,4.9,6,2.25,1.1,3.36,16.6,1,1,0,0,dodge aspen 6
79,1,17,5.9,5.9,8,3.05,1.3,3.84,15.4,1,1,0,0,chevrolet caprice classic
79,1,17.6,5.7,5.7,8,3.02,1.29,3.725,13.4,1,1,0,0,ford ltd landau
79,1,16.5,6.1,6.1,8,3.51,1.38,3.955,13.2,1,1,0,0,mercury grand marquis
