Weekday,Weekday_EQ_1,Weekday_EQ_2,Weekday_EQ_3,Weekday_EQ_4,Weekday_EQ_5,Weekday_EQ_6,Weekday_EQ_7,Day,Date,Page Loads,Unique Visits,Unique_Visits_MA7,Unique_Visits_MA7_LAG7,First Time Visits,Returning Visits
1,1,0,0,0,0,0,0,Sunday,1st March 2015,3907,2906,3386,2959,2519,387
2,0,1,0,0,0,0,0,Monday,2nd March 2015,5308,3778,3358,3056,3222,556
3,0,0,1,0,0,0,0,Tuesday,3rd March 2015,5773,4025,3346,3151,3490,535
4,0,0,0,1,0,0,0,Wednesday,4th March 2015,5585,4060,3352,3221,3457,603
5,0,0,0,0,1,0,0,Thursday,5th March 2015,4783,3582,3328,3284,3049,533
6,0,0,0,0,0,1,0,Friday,6th March 2015,3893,2707,3291,3334,2259,448
7,0,0,0,0,0,0,1,Saturday,7th March 2015,2917,2048,3301,3356,1723,325
1,1,0,0,0,0,0,0,Sunday,8th March 2015,3353,2468,3238,3386,2104,364
2,0,1,0,0,0,0,0,Monday,9th March 2015,5400,3824,3245,3358,3246,578
3,0,0,1,0,0,0,0,Tuesday,10th March 2015,5395,3926,3231,3346,3350,576
4,0,0,0,1,0,0,0,Wednesday,11th March 2015,5229,3859,3202,3352,3263,596
5,0,0,0,0,1,0,0,Thursday,12th March 2015,5371,3784,3231,3328,3204,580
6,0,0,0,0,0,1,0,Friday,13th March 2015,4185,3045,3279,3291,2559,486
7,0,0,0,0,0,0,1,Saturday,14th March 2015,2724,1988,3271,3301,1675,313
1,1,0,0,0,0,0,0,Sunday,15th March 2015,3590,2620,3292,3238,2196,424
2,0,1,0,0,0,0,0,Monday,16th March 2015,5367,3771,3285,3245,3192,579
3,0,0,1,0,0,0,0,Tuesday,17th March 2015,5440,3968,3291,3231,3387,581
4,0,0,0,1,0,0,0,Wednesday,18th March 2015,5465,4043,3317,3202,3458,585
5,0,0,0,0,1,0,0,Thursday,19th March 2015,5318,3813,3321,3231,3262,551
6,0,0,0,0,0,1,0,Friday,20th March 2015,4225,2916,3303,3279,2462,454
7,0,0,0,0,0,0,1,Saturday,21st March 2015,2687,1975,3301,3271,1667,308
1,1,0,0,0,0,0,0,Sunday,22nd March 2015,,,,3292,,
2,0,1,0,0,0,0,0,Monday,23rd March 2015,,,,3285,,
3,0,0,1,0,0,0,0,Tuesday,24th March 2015,,,,3291,,
4,0,0,0,1,0,0,0,Wednesday,25th March 2015,,,,3317,,
5,0,0,0,0,1,0,0,Thursday,26th March 2015,,,,3321,,
6,0,0,0,0,0,1,0,Friday,27th March 2015,,,,3303,,
7,0,0,0,0,0,0,1,Saturday,28th March 2015,,,,3301,,
